"age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
71;2474,224182;2711,573138;2702,682735;2669,343721;2636,004707;2670,272316;2704,539926;2712,271985;2400,560027;2548,420608;2773,165211;2829,817442;2820,059451;2956,071669;2939,458642;3017,690743;2920,693139
72;2584,344554;2840,302052;2830,989586;2796,067839;2761,146093;2799,656361;2838,16663;2847,92591;2529,585473;2685,393274;2930,33028;2993,121294;2982,800186;3134,327841;3117,525747;3226,153309;3121,561035
73;2687,498098;2964,705207;2954,984862;2918,533568;2882,082275;2925,558671;2969,035067;2981,008394;2657,534648;2821,223376;3084,218033;3152,116829;3141,247461;3313,076457;3296,314294;3444,653713;3323,503687
74;2783,665135;3083,619665;3073,509437;3035,59608;2997,682724;3047,169225;3096,655726;3111,10548;2783,771583;2955,235775;3232,367459;3303,745454;3292,353228;3488,488361;3472,482907;3660,120227;3527,058875
75;2872,850207;3195,261835;3184,785566;3145,49956;3106,213554;3163,42408;3220,634606;3237,898291;2907,99075;3087,106123;3373,516286;3445,71011;3433,828351;3658,333298;3643,434307;3870,478756;3761,621541
76;2954,574931;3327,941204;3317,029922;3276,112612;3235,195302;3287,987855;3340,780409;3361,199319;3029,903027;3216,527489;3507,420127;3578,015182;3565,677199;3821,114292;3807,086708;4071,894478;3957,372446
77;3028,289772;3453,575996;3442,252796;3399,790796;3357,328796;3407,122143;3456,91549;3480,722566;3149,137578;3343,106197;3634,338746;3701,323431;3688,560247;3975,202326;3961,831457;4259,095023;4139,307975
78;3093,592041;3566,542323;3554,848741;3510,997811;3467,146881;3517,967674;3568,788467;3596,087157;3265,232582;3466,35198;3754,221146;3816,491865;3803,331548;4118,412023;4106,140358;4424,601033;4300,159129
79;3150,1502;3663,489281;3651,47784;3606,434939;3561,392038;3618,842286;3676,292533;3707,222583;3377,980295;3586,044299;3866,508648;3922,819926;3909,292961;4250,337753;4239,221139;4567,258127;4438,803992
80;3197,837085;3743,413935;3731,140447;3685,114866;3639,089284;3709,303728;3779,518171;3814,277507;3487,341916;3702,141962;3971,229858;4021,249141;4007,382764;4370,580574;4360,709254;4688,760362;4556,888976
81;3236,607279;3807,152229;3794,669763;3747,860514;3701,051266;3789,893819;3878,736373;3917,509353;3593,356413;3814,686337;4068,143551;4151,046884;4136,732929;4478,85363;4470,614698;4795,357094;4660,487676
82;3266,808973;3856,648958;3844,004207;3796,586392;3749,168577;3861,807703;3974,446829;4017,336285;3696,242684;3923,909806;4157,201754;4239,572773;4224,953557;4575,773225;4569,715649;4889,545379;4752,026915
83;3289,289933;3894,298677;3881,530484;3833,649763;3785,769041;3926,401503;4067,033965;4114,156913;3796,226072;4030,051591;4238,556144;4321,436861;4306,535354;4661,535922;4658,575287;4971,677851;4831,849412
84;3304,761678;3922,488426;3909,627809;3861,400492;3813,173175;3984,996199;4156,819222;4208,284598;3893,578516;4133,400381;4312,881509;4397,134985;4381,972451;4736,467136;4738,222829;5039,856155;4898,110201
85;3313,799478;3943,346653;3930,417648;3881,933878;3833,450107;4038,725107;4244,000107;4299,982392;3988,605206;4234,280165;4380,938435;4467,132928;4451,729022;4801,228542;4809,793253;5090,879728;4947,698735
86;3316,978604;3958,645266;3945,666101;3896,994233;3848,322365;4088,596049;4328,869732;4389,549432;4081,617629;4333,021613;4443,492087;4531,767516;4516,140731;4858,216637;4875,150264;5127,868408;4983,647109
87;3316,978604;3969,79406;3956,778342;3907,969399;3859,160455;4135,47083;4411,781205;4477,30617;4172,914263;4429,941591;4501,689054;4591,807238;4575,97342;4909,054194;4935,604915;5155,014712;5010,029924
88;3316,978604;3977,880592;3964,83836;3915,929993;3867,021625;4180,036536;4493,051448;4563,488898;4262,752003;4525,312815;4556,449174;4647,876805;4631,849644;4955,26521;4992,32375;5174,224051;5028,698999
89;3316,978604;3993,062738;3979,970729;3930,875695;3881,780661;4227,364807;4572,948952;4648,277676;4351,318436;4619,334427;4608,408774;4700,54953;4684,340738;4997,682117;5046,030536;5186,197465;5040,335661
90;3316,978604;4000,38997;3987,273937;3938,088815;3888,903692;4270,314225;4651,724758;4731,938274;4438,890303;4712,300213;4657,989193;4750,133472;4733,753701;5036,791373;5097,513619;5191,570821;5045,557892
91;3316,978604;4006,536138;3993,399954;3944,139264;3894,878573;4312,239835;4729,601096;4814,704661;4525,691399;4804,447754;4705,800719;4797,150931;4780,609032;5073,036288;5147,46896;5193,121783;5047,065233
92;3316,978604;4018,053876;4004,879929;3955,477627;3906,075325;4356,438735;4806,802145;4896,804706;4611,909736;4895,97664;4752,302998;4842,133425;4825,436413;5107,133479;5196,513908;5193,783813;5047,708644
93;3316,978604;4032,069275;4018,849376;3969,274754;3919,700131;4401,605455;4883,510779;4978,42331;4697,699438;4987,050491;4797,848276;4885,640995;4868,793957;5139,641417;5244,89381;5194,104126;5048,019947
94;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4446,265401;4959,889595;5059,71888;4783,197602;5077,814846;4842,69795;4928,010906;4911,017764;5170,898504;5292,764297;5194,476331;5048,381684
95;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4484,354897;5036,068587;5140,821638;4868,520026;5168,392636;4887,075788;4969,578858;4952,442379;5201,263724;5340,227564;5195,422386;5049,301131
96;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4522,388015;5112,134823;5221,835465;4953,746971;5258,869067;4931,10734;5010,590054;4993,312157;5230,95112;5387,387903;5196,775389;5050,616081
97;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4560,393522;5188,145836;5302,822252;5038,931406;5349,30037;4974,882131;5051,222812;5033,804802;5260,244694;5434,344869;5197,816248;5051,627666
98;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4598,387517;5264,133828;5383,80677;5124,101981;5439,716958;5018,502707;5091,628269;5074,07093;5289,312541;5481,166644;5198,885672;5052,667013
99;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4636,379038;5340,11687;5464,796372;5209,271299;5530,132213;5062,043911;5131,905412;5114,209186;5318,266328;5527,901468;5199,71645;5053,474425
100;3316,978604;4045,381343;4032,117797;3982,379502;3932,641207;4674,368408;5416,095609;5545,782083;5294,442559;5620,549528;5105,572991;5172,138065;5154,303106;5347,227148;5574,612013;5200,281355;5054,023442
