"age";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
91;123;123;123;123;123;123;123;123;123;123;123;123;95,76;93,95;99,91;142,49;182,89
92;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;86,036;93,16;77,24;79,27;72,54;107,97
93;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;63,208;77,06;68,33;63,01;57,78;49,86
94;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;44,714;29,57;57,1;50,22;45,4;41,28
95;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;32,028;21,75;20,58;47,47;35,07;35,27
96;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;21,896;11,75;16,84;13,58;38,65;28,66
97;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;11,854;5,16;9;13,64;9;22,47
98;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;6,792;9,08;1,33;7;9,12;7,43
99;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;4,69;6,92;6,33;0;4,36;5,84
100;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;4,268;7,9;6,2;5,24;0;2
